Gender,Residence,Study_Level,Faculty,Grad_School,Visiting_Faculty_GradSchool,Affiliation_Program,Freq_Taxi,Freq_Ring,Freq_Walking,Freq_Hitchhiking,Freq_PersonalVehicle,Weekday_Ring_Frequency,Weekday_Ring_TimeSlots,Weekday_Schedule_Satisfaction,Weekend_Ring_Frequency,Weekend_Ring_TimeSlots,Weekend_Schedule_Satisfaction,Route_Used_Most,Ring_Purposes,Ring_Reasons,Problem_LateBus,Problem_TooCrowded,Problem_LongWait,Problem_NotMyRoute,Problem_RouteConfusing,Problem_HoursMismatch,Problem_NotClean,Problem_DriverBehavior,Understanding_Routes,Avg_Wait_Time,UseMore_IfFrequent,App_Helping_Ring,MostValuable_Improvement,Overall_Satisfaction,Open_Comments,Department
Male,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,Rarely,Sometimes,Always,Often,Never,1–2 times a week,"Evening (15:00-19:00), Late evening (19:00-23:00)",Dissatisfied,Often (every weekend),"Evening (15:00–19:00), Late (19:00–23:00)",Very dissatisfied,"Brown (A1 - A1), Purple (A1 - A1)","To get to West dormitory, To get to East dormitory, To get to A1 Entrance","Fastest, No private car",Sometimes,Always,Always,Often,Always,Rarely,Often,Always,1.0,11–15 minutes,Yes,5.0,Better route coverage,2.0,"The buses should have a much better indication of their color and where they actually go.
Also there needs to be a stop near the 6th dormitory, this is a deal breaker",Electrical and Electronics Engineering
Female,"West Dorms/Guesthouses (Isa Demiray Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,Rarely,Often,Sometimes,Sometimes,Never,More than once a day,"Morning (08:00–11:00), Midday (11:00-15:00), Late evening (19:00-23:00)",Satisfied,Often (every weekend),Late (19:00–23:00),Neutral,"Yellow (A2 - East), Purple (A1 - A1)","To get to East dormitory, To get to department, To get to A1 Entrance, To get to A2 Entrance, To get to the library, To get to dining facilities",Fastest,Never,Often,Sometimes,Often,Rarely,Rarely,Sometimes,Never,3.0,11–15 minutes,Yes,5.0,More frequent buses,4.0,,Psychology
Female,"West Dorms/Guesthouses (Isa Demiray Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,Rarely,Always,Always,Always,Never,More than once a day,Midday (11:00-15:00),Dissatisfied,Often (every weekend),"Evening (15:00–19:00), Late (19:00–23:00)",Dissatisfied,"Brown (A1 - A1), Yellow (A2 - East), Purple (A1 - A1)","To get to West dormitory, To get to department, To get to A1 Entrance, To get to the library, To get to dining facilities","It's free, No private car",Sometimes,Always,Often,Often,Never,Sometimes,Often,Never,5.0,11–15 minutes,Yes,5.0,Better route coverage,3.0,,Computer Engineering
Male,"West Dorms/Guesthouses (Isa Demiray Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,Rarely,Always,Always,Often,Never,More than once a day,"Midday (11:00-15:00), Evening (15:00-19:00)",Neutral,Often (every weekend),Midday (11:00–15:00),Dissatisfied,Yellow (A2 - East),"To get to the library, To get to dining facilities","It's free, No private car",Rarely,Always,Often,Always,Never,Never,Never,Never,5.0,5–10 minutes,Yes,2.0,Better route coverage,3.0,The weekday evening busses’ route is overlapping through the whole campus so it usually takes 30 minutes to get to west side from a1 gate. It passes through all the departments even at midnight. I’m pretty sure there’s nobody at this hour. The direct “short cut” passing by pete would save like 15 minutes for those who stay in west side ,Civil Engineering
Male,Off-campus (within walking distance),Undergraduate (Bachelor’s),Faculty of Economic and Administrative Sciences,,,,Often,Sometimes,Often,Never,Never,3–4 times a week,"Morning (08:00–11:00), Late evening (19:00-23:00)",Satisfied,Sometimes (a few times a month),Late (19:00–23:00),Neutral,"Brown (A1 - A1), Red (East - A2), Navy Blue (East - East), Purple (A1 - A1)","To get to West dormitory, To get to department, To get to A1 Entrance, To get to A2 Entrance",It's free,Rarely,Often,Sometimes,Rarely,Often,Never,Never,Never,2.0,11–15 minutes,Yes,4.0,Better real-time tracking,4.0,,International Relations
Female,"West Dorms/Guesthouses (Isa Demiray Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Economic and Administrative Sciences,,,,Never,Always,Always,Rarely,Never,More than once a day,"Midday (11:00-15:00), Late evening (19:00-23:00)",Neutral,Often (every weekend),"Midday (11:00–15:00), Late (19:00–23:00)",Dissatisfied,"Yellow (A2 - East), Navy Blue (East - East), Purple (A1 - A1)","To get to West dormitory, To get to department, To get to A1 Entrance, To get to the library","Most convenient, No private car",Rarely,Often,Often,Rarely,Never,Rarely,Never,Rarely,5.0,5–10 minutes,Yes,4.0,More frequent buses,4.0,,Economics
Female,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,Never,Rarely,Often,Never,Never,Very rarely,,Neutral,Rarely (once or twice a month),,Dissatisfied,,"To get to East dormitory, To get to A1 Entrance","Most convenient, It's free",,,Often,,Often,,,,,11–15 minutes,Yes,2.0,More frequent buses,3.0,,Environmental Engineering
Female,"East Dorms/Guesthouses (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,Never,Sometimes,Always,Rarely,Never,1–2 times a week,"Midday (11:00-15:00), Late evening (19:00-23:00)",Neutral,Sometimes (a few times a month),"Evening (15:00–19:00), Late (19:00–23:00)",Dissatisfied,"Yellow (A2 - East), Red (East - A2), Navy Blue (East - East), Purple (A1 - A1)","To get to East dormitory, To get to A1 Entrance, To get to A2 Entrance","Most convenient, It's free, No private car",Rarely,Sometimes,Rarely,Never,Sometimes,Rarely,Never,Never,3.0,11–15 minutes,Yes,3.0,More frequent buses,4.0,,Civil Engineering
Male,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor's),Faculty of Engineering,,,,Sometimes,Often,Often,Rarely,Never,More than once a day,Morning (08:00–11:00),Unsatisfied,Sometimes (a few times a month),Afternoon (15:00–19:00),Unsatisfied,Yellow (A2 - East),Reaching my department,I don't have a personal vehicle,Rarely,Always,Always,Always,Never,Always,Rarely,Never,4.0,16–20 minutes,Yes,1.0,Daha dakik seferler,1.0,,Electrical and Electronics Engineering
Male,Off-campus (within walking distance),Undergraduate (Bachelor's),Faculty of Engineering,,,,Often,Often,Rarely,Sometimes,Never,More than once a day,Noon (11:00–15:00),Neutral,Never use it,Afternoon (15:00–19:00),Neutral,Red (East - A2),Reaching my department,"Most convenient transportation method, Free, Fastest transportation method, Better for the environment",Sometimes,Always,Sometimes,Rarely,Often,Sometimes,Often,Rarely,1.0,5–10 minutes,Yes,1.0,Better real-time tracking,3.0,,Metallurgical and Materials Engineering
