Gender,Residence,Study_Level,Faculty,Grad_School,Visiting_Faculty_GradSchool,Affiliation_Program,Weekday_Schedule_Satisfaction,Weekend_Schedule_Satisfaction,Understanding_Routes,UseMore_IfFrequent,App_Helping_Ring,MostValuable_Improvement,Overall_Satisfaction,Open_Comments,Department,Problem_LateBus,Problem_TooCrowded,Problem_LongWait,Problem_NotMyRoute,Problem_RouteConfusing,Problem_HoursMismatch,Problem_NotClean,Problem_DriverBehavior,Freq_Taxi,Freq_Ring,Freq_Walking,Freq_Hitchhiking,Freq_PersonalVehicle,Weekday_Ring_Frequency,Weekend_Ring_Frequency,Avg_Wait_Time,Reason_Free,Reason_No_private_car,Reason_Most_convenient,Reason_Fastest,Reason_Better_for_environment,Reason_Hard_to_find_parking,Purpose_Going_to_A1_Gate,Purpose_Going_to_A2_Gate,Purpose_Going_to_department,Purpose_Going_to_East_Dorms,Purpose_Going_to_West_Dorms,Purpose_Going_to_cafeteria,Purpose_Going_to_library,Purpose_Going_to_sports_facilitie,Route_Brown_A1___A1,Route_Turquoise_West___A2,Route_Orange_West___A2,Route_Yellow_A2___East,Route_Red_East___A2,Route_Navy_Blue_East___East,Route_Purple_A1___A1,TimeWkday_Morning_08:00_11:00,TimeWkday_Midday_11:00_15:00,TimeWkday_Afternoon_15:00_19:00,TimeWkday_Late_19:00_23:00,TimeWkend_Morning_08:00_11:00,TimeWkend_Midday_11:00_15:00,TimeWkend_Afternoon_15:00_19:00,TimeWkend_Late_19:00_23:00,Total_Usage_Score,Problem_Severity_Index,Heavy_User,Residence_Simplified,Route_Count,Purpose_Count,Reason_Count,UseMore_Binary
Male,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,2,1,1.0,Yes,5.0,Better route coverage,2.0,"The buses should have a much better indication of their color and where they actually go.
Also there needs to be a stop near the 6th dormitory, this is a deal breaker",Electrical and Electronics Engineering,3,5,5,4,5,2,4,5,2,3,5,4,1,2,3,3,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,5,4.125,0,East_Dorms,2,3,2,1.0
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Arts and Sciences,,,,4,3,3.0,Yes,5.0,More frequent buses,4.0,,Psychology,1,4,3,4,2,2,3,1,2,4,3,3,1,5,3,3,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,8,2.5,1,West_Dorms,2,6,1,1.0
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,2,2,5.0,Yes,5.0,Better route coverage,3.0,,Computer Engineering,3,5,4,4,1,3,4,1,2,5,5,5,1,5,3,3,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,8,3.125,1,West_Dorms,3,5,2,1.0
Male,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,3,2,5.0,Yes,2.0,Better route coverage,3.0,The weekday evening busses’ route is overlapping through the whole campus so it usually takes 30 minutes to get to west side from a1 gate. It passes through all the departments even at midnight. I’m pretty sure there’s nobody at this hour. The direct “short cut” passing by pete would save like 15 minutes for those who stay in west side ,Civil Engineering,2,5,4,5,1,1,1,1,2,5,5,4,1,5,3,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,8,2.5,1,West_Dorms,1,2,2,1.0
Male,Off-campus (within walking distance),Undergraduate (Bachelor’s),Faculty of Economic and Administrative Sciences,,,,4,3,2.0,Yes,4.0,Better real-time tracking,4.0,,International Relations,2,4,3,2,4,1,1,1,4,3,4,1,1,3,2,3,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,5,2.25,1,Off_Campus_Near,4,4,1,1.0
Female,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Economic and Administrative Sciences,,,,3,2,5.0,Yes,4.0,More frequent buses,4.0,,Economics,2,4,4,2,1,2,1,2,1,5,5,2,1,5,3,2,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,8,2.25,1,West_Dorms,3,4,2,1.0
Female,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,3,2,3.0,Yes,2.0,More frequent buses,3.0,,Environmental Engineering,3,4,4,4,4,3,1,1,1,2,4,1,1,1,1,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3.0,0,East_Dorms,2,2,2,1.0
Female,"East Dorms (1st Dorm, 2nd Dorm, 16th Guesthouse, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,3,2,3.0,Yes,3.0,More frequent buses,4.0,,Civil Engineering,2,3,2,1,3,2,1,1,1,3,5,2,1,2,2,3,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,4,1.875,0,East_Dorms,4,3,3,1.0
Male,"West Dorms (Isa Demiray Student Dormitory, 19th Dorm, etc.)",Undergraduate (Bachelor’s),Faculty of Engineering,,,,2,2,4.0,Yes,1.0,Improved punctuality,1.0,,Electrical and Electronics Engineering,2,5,5,5,1,5,2,1,3,4,4,2,1,5,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,7,3.25,1,West_Dorms,1,1,1,1.0
Male,Off-campus (within walking distance),Undergraduate (Bachelor’s),Faculty of Engineering,,,,3,3,1.0,Yes,1.0,Better real-time tracking,3.0,,Metallurgical and Materials Engineering,3,5,3,2,4,3,4,2,4,4,2,3,1,5,0,2,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,5,3.25,1,Off_Campus_Near,1,1,4,1.0
